path_num,missing_points,teo_point_time,sim_drone_time,teo_point_dist,teo_Xdist,teo_Ydist,teo_point_vel,Energy
142,3,55,100.9000244140625,0.0,0,0,0.0,37999595.92900318
142,2,57,104.90008544921876,2.23606797749979,-1,-2,0.03922926276315421,13445375.87037485
142,1,77,139.49993896484378,2.23606797749979,-1,-2,0.029039843863633633,6630105.048840992
142,0,55,98.800048828125,5.656854249492381,4,4,0.102851895445316,8709306.469262721
143,7,71,130.69999694824222,2.8284271247461903,-2,-2,0.039837001756988594,22972563.926440552
143,6,75,127.30003356933594,4.123105625617661,1,4,0.05497474167490214,10761103.129011305
143,5,45,81.75,0.0,0,0,0.0,8288131.76575274
143,3,53,98.60003662109376,1.0,-1,0,0.018867924528301886,7926452.989183882
143,2,42,74.74993896484375,2.8284271247461903,2,-2,0.06734350297014739,11651369.413781347
143,1,70,125.4500732421875,4.47213595499958,-2,4,0.06388765649999399,17797439.42909201
143,0,60,108.2000732421875,4.47213595499958,4,-2,0.07453559924999299,6139462.730135249
144,8,42,77.6500015258789,2.8284271247461903,-2,-2,0.06734350297014739,13611487.53652113
144,7,50,88.75001525878906,5.656854249492381,4,4,0.1131370849898476,11172574.905991156
144,6,65,116.45001220703124,2.8284271247461903,-2,-2,0.0435142634576337,4264492.981506902
144,5,76,142.04998779296875,2.23606797749979,-1,-2,0.029421947072365656,29911499.68917173
144,4,75,133.70001220703122,4.47213595499958,2,4,0.0596284793999944,13359324.322364578
144,3,67,125.25,2.0,0,-2,0.029850746268656716,23605441.90230285
144,2,62,113.25006103515624,2.23606797749979,-1,-2,0.03606561254031919,41954330.02147806
144,1,78,143.45001220703125,4.47213595499958,-2,4,0.057335076346148456,17215766.885243468
144,0,76,135.5999755859375,2.8284271247461903,2,-2,0.03721614637823935,9144974.476027489
145,7,62,106.89999389648438,2.0,2,0,0.03225806451612903,9161431.792397117
145,6,45,78.14999389648438,2.8284271247461903,-2,-2,0.0628539361054709,1930317.004977953
145,5,51,88.75003051757812,2.0,2,0,0.0392156862745098,16635119.312156996
145,4,50,94.699951171875,1.0,0,-1,0.02,19444746.779588092
145,3,63,115.0999755859375,1.4142135623730951,-1,1,0.022447834323382463,21378022.86356963
145,2,61,114.54998779296876,2.23606797749979,1,-2,0.03665685209016049,32121675.9120554
145,1,47,86.800048828125,2.23606797749979,-1,2,0.04757591441488915,27432943.11066994
145,0,77,143.49993896484375,0.0,0,0,0.0,24310193.7877615
146,8,50,88.70000457763672,2.23606797749979,-2,-1,0.044721359549995794,19385325.37469817
146,7,54,100.8499984741211,4.242640687119285,3,3,0.07856742013183861,39559740.09204024
146,6,57,100.95001220703124,2.23606797749979,-2,-1,0.03922926276315421,8836238.162859313
146,5,61,109.60000610351562,2.23606797749979,1,-2,0.03665685209016049,14238240.171102768
146,4,73,130.25,2.23606797749979,-1,2,0.03063106818492863,15400320.64433304
146,3,49,89.050048828125,1.4142135623730951,-1,-1,0.02886150127292031,16648278.46372984
146,2,70,129.10003662109378,4.47213595499958,4,2,0.06388765649999399,27533849.198990233
146,1,68,123.45001220703124,2.23606797749979,-2,-1,0.032883352610291024,19682509.1524498
146,0,55,100.25,2.0,0,-2,0.03636363636363636,7105219.02254057
147,8,56,94.70000457763672,4.0,4,0,0.07142857142857142,2923062.780248668
147,7,58,109.99998474121094,2.0,-2,0,0.034482758620689655,54639230.436849244
147,6,56,102.0,1.0,0,-1,0.017857142857142856,18335077.566022623
147,5,76,129.85000610351562,1.0,0,-1,0.013157894736842105,5050049.022853579
147,4,75,135.95001220703122,2.0,-2,0,0.02666666666666667,4909417.478366598
147,3,68,122.85003662109376,4.0,4,0,0.058823529411764705,20875973.771139186
147,2,55,101.95001220703124,1.0,0,-1,0.01818181818181818,56580294.06545314
147,1,44,82.95001220703125,1.0,0,1,0.022727272727272728,24831822.8535185
